,from,to,sign,weight
2091,CDK5,RPS6KA2,1,0.219
2092,CDK5,SMAD4,1,0.164
2093,CDK5,SRC,1,0.564
2094,CDK5,SRF,1,0.276
2095,CDK5,STAT3,1,0.701
2096,CDK5,STXBP1,-1,0.714
2097,CDK5,TLN1,1,0.46
2098,CDK5,TP53,1,0.983
2099,CDK5,UBE2A,1,0.213
2100,CDK5,ZYX,1,0.221
2101,CDK5,NOS3,-1,0.547
2102,CDK5,TRPV1,1,0.527
2103,CDK5,DNMT1,1,0.491
2104,CDK5,PIP5K1C,-1,0.395
2105,CDK5,STMN1,-1,0.522
2106,CDK5,SRSF10,1,0.179
2107,CDK5,SYN1,1,0.804
2108,CDK5,NDEL1,1,0.978
2109,CDK5,EIF4A3,1,0.195
2110,CDK5,AMPH,1,0.779
2111,CDK5,CRMP1,1,0.966
2112,CDK5,DNM1,1,0.779
2113,CDK5,DPYSL3,1,0.956
2114,CDK5,EPRS,-1,0.68
2115,CDK5,RASGRF2,1,0.469
2116,CDK5R1,CDK5,1,0.999
2117,CDK5R1,PAK1,-1,0.933
2118,CDK5R1,LMTK2,-1,0.385
2119,CDK5R1,ODF1,1,0.36
2120,CDK5R2,CDK5,1,0.994
2121,CDK6,CAMKK1,1,0.155
2122,CDK6,CDKN1A,-1,0.995
2123,CDK6,CTNNB1,1,0.594
2124,CDK6,LIG1,1,0.509
2125,CDK6,RBL1,-1,0.988
2126,CDK6,RBL2,-1,0.98
2127,CDK6,RPA2,1,0.192
2128,CDK6,STUB1,1,0.17
2129,CDK6,TCF3,1,0.525
2130,CDK6,TFDP1,-1,0.954
2131,CDK6,NUSAP1,1,0.202
2132,CDK6,PUM1,1,0.155
2133,CDK7,AR,-1,0.51
2134,CDK7,CDK1,1,0.981
2135,CDK7,CDK4,1,0.967
2136,CDK7,E2F1,-1,0.772
2137,CDK7,ESR1,1,0.538
2138,CDK7,NR5A1,1,0.519
2139,CDK7,RARA,1,0.667
2140,CDK7,RPA2,1,0.979
2141,CDK7,TP53,1,0.72
2142,CDK8,CCNC,1,0.999
2143,CDK8,E2F1,-1,0.708
2144,CDK9,GTF2F1,1,0.964
2145,CDK9,NPM1,1,0.159
2146,CDK9,RB1,1,0.705
2147,CDK9,RCHY1,-1,0.676
2148,CDK9,TP53,1,0.825
2149,CDK9,PTBP1,1,0.159
2150,CDK9,CTDP1,1,0.982
2151,CDK9,SUPT5H,1,0.998
2152,CDKN1A,CASP3,-1,0.921
2153,CDKN1A,CCNA1,-1,0.984
2154,CDKN1A,CCNA2,-1,0.986
2155,CDKN1A,CCNB1,-1,0.992
2156,CDKN1A,CCND1,-1,0.997
2157,CDKN1A,CCND2,-1,0.992
2158,CDKN1A,CCND3,-1,0.992
2159,CDKN1A,CCNE1,-1,0.994
2160,CDKN1A,CCNE2,-1,0.991
2161,CDKN1A,CDK1,-1,0.996
2162,CDKN1A,CDK3,-1,0.92
2163,CDKN1A,CDK4,-1,0.998
2164,CDKN1A,CDK6,-1,0.995
2165,CDKN1A,E2F1,-1,0.963
2166,CDKN1A,FEN1,-1,0.305
2167,CDKN1A,MAP3K5,-1,0.772
2168,CDKN1A,MYC,-1,0.991
2169,CDKN1A,PCNA,-1,0.997
2170,CDKN1A,RB1,-1,0.987
2171,CDKN1A,STAT3,-1,0.816
2172,CDKN1A,TP53,1,0.998
2173,CDKN1A,DDAH2,1,0.189
2174,CDKN1B,CCNA1,-1,0.951
2175,CDKN1B,CCNA2,-1,0.997
2176,CDKN1B,CCND1,-1,0.997
2177,CDKN1B,CCND2,-1,0.995
2178,CDKN1B,CCND3,-1,0.995
2179,CDKN1B,CCNE1,-1,0.996
2180,CDKN1B,CCNE2,-1,0.987
2181,CDKN1B,CDK1,-1,0.96
2182,CDKN1B,CDK2,-1,0.999
2183,CDKN1B,CDK4,-1,0.998
2184,CDKN1B,CDK6,-1,0.995
2185,CDKN1B,RHOA,-1,0.981
2186,CDKN1C,CCNA2,-1,0.967
2187,CDKN1C,CDK2,-1,0.96
2188,CDKN1C,CDK4,-1,0.974
2189,CDKN2AIP,TP53,1,0.494
2190,CDKN2B,CDK4,-1,0.989
2191,CDKN2B,CDK6,-1,0.985
2192,CDKN2C,CDK4,-1,0.996
2193,CDKN3,CDK2,-1,0.99
2194,CDON,ABL1,1,0.939
2195,CDON,BNIP2,1,0.954
2196,CDON,MAPK14,1,0.902
2197,CDON,SPAG9,1,0.947
2198,CDT1,GMNN,-1,0.999
2199,CEBPA,CSF1R,1,0.441
2200,CEBPA,CSF2RA,1,0.192
2201,CEBPA,CSF3R,1,0.442
2202,CEBPA,ELANE,1,0.917
2203,CEBPA,LTF,1,0.344
2204,CEBPA,MYC,-1,0.965
2205,CEBPA,SPI1,1,0.737
2206,CEBPA,LYZ,1,0.911
2207,CEBPA,MPO,1,0.341
2208,CEBPB,E2F4,1,0.215
2209,CEBPB,FOXO1,1,0.969
2210,CEBPB,HSP90AA1,1,0.2
2211,CEBPB,RUNX2,1,0.498
2212,CEBPB,STAT3,1,0.965
2213,CEBPB,LBP,1,0.912
2214,CENPA,AURKB,1,0.999
2215,CENPX,FANCM,1,0.965
2216,CEP290,RAB8A,1,0.975
2217,CERK,RAF1,1,0.356
2218,CFB,C3,1,0.991
2219,CFI,C3,-1,0.987
2220,CFL1,ACTA1,1,0.987
2221,CFL1,ACTB,-1,0.996
2222,CFL1,SSH1,1,0.992
2223,CFL1,LIMK1,-1,0.999
2224,CFL1,ACTC1,-1,0.856
2225,CFLAR,ATG3,-1,0.695
2226,CFLAR,CASP10,-1,0.985
2227,CFLAR,CASP8,-1,0.996
2228,CFLAR,DAXX,-1,0.489
2229,CFLAR,NFKB1,-1,0.867
2230,CFLAR,RIPK1,-1,0.964
2231,CGA,LHCGR,1,0.953
2232,CGB3,LHCGR,1,0.651
2233,CGB5,LHCGR,1,0.179
2234,CGB8,LHCGR,1,0.468
2235,CHD8,CTNNB1,-1,0.949
2236,CHEK1,AURKB,1,0.819
2237,CHEK1,BLM,1,0.991
2238,CHEK1,CDC7,1,0.989
2239,CHEK1,CLSPN,1,0.993
2240,CHEK1,DDB1,-1,0.724
2241,CHEK1,E2F3,1,0.301
2242,CHEK1,FANCA,1,0.956
2243,CHEK1,FANCD2,1,0.902
2244,CHEK1,FANCE,1,0.98
2245,CHEK1,FANCL,1,0.934
2246,CHEK1,H3F3A,1,0.245
2247,CHEK1,H3F3B,1,0.526
2248,CHEK1,MDM4,-1,0.744
2249,CHEK1,NFKB1,-1,0.572
2250,CHEK1,PTTG1,1,0.764
2251,CHEK1,RAD51,1,0.997
2252,CHEK1,RB1,1,0.69
2253,CHEK1,SYK,-1,0.577
2254,CHEK1,TP53,1,0.994
2255,CHEK1,TP73,1,0.243
2256,CHEK1,HIST1H3D,-1,0.238
2257,CHEK1,HIST1H3H,-1,0.234
2258,CHEK1,HIST1H3J,-1,0.26
2259,CHEK1,UBE2B,1,0.357
2260,CHEK2,ASF1A,-1,0.888
2261,CHEK2,BRCA1,1,0.993
2262,CHEK2,CDC25A,-1,0.996
2263,CHEK2,CHEK1,1,0.921
2264,CHEK2,E2F1,1,0.572
2265,CHEK2,ELAVL1,1,0.796
2266,CHEK2,FOXM1,1,0.768
2267,CHEK2,KIT,1,0.313
2268,CHEK2,LIG1,1,0.477
2269,CHEK2,PLK3,1,0.985
2270,CHEK2,PPP1R13L,1,0.17
2271,CHEK2,PPP2R5C,1,0.387
2272,CHEK2,PTTG1,1,0.368
2273,CHEK2,RASGRF1,-1,0.901
2274,CHEK2,RB1,1,0.834
2275,CHEK2,STRAP,1,0.594
2276,CHEK2,TTK,1,0.347
2277,CHEK2,VHL,1,0.693
2278,CHFR,PLK1,-1,0.646
2279,CHN1,CDK5R1,1,0.36
2280,CHN2,RAC1,-1,0.961
2281,CHP2,SLC9A1,-1,0.961
2282,CHRD,BMP2,-1,0.994
2283,CHRM1,GNA11,1,0.943
2284,CHRM1,GNAQ,1,0.926
2285,CHRM2,GNA11,1,0.879
2286,CHRM2,GNAI3,1,0.939
2287,CHRM2,GNA14,1,0.877
2288,CHRM2,GNAO1,1,0.808
2289,CHRM3,GNAQ,1,0.951
2290,CHRM4,GNAI3,1,0.904
2291,CHRM4,EEF1A2,1,0.36
2292,CHUK,CREBBP,1,0.785
2293,CHUK,FOXO3,-1,0.963
2294,CHUK,H3F3A,1,0.211
2295,CHUK,HIST3H3,1,0.367
2296,CHUK,IRF7,1,0.946
2297,CHUK,IRS1,-1,0.891
2298,CHUK,IRS2,-1,0.824
2299,CHUK,MYC,1,0.961
2300,CHUK,NCOA3,1,0.491
2301,CHUK,NFKBIB,1,0.982
2302,CHUK,NFKBIE,1,0.955
2303,CHUK,RELA,1,0.993
2304,CHUK,TAX1BP1,1,0.482
2305,CHUK,TRAF4,-1,0.401
2306,CHUK,TSC2,-1,0.217
2307,CHUK,EBAG9,1,0.9
2308,CHUK,RELB,-1,0.972
2309,CIB1,PAK1,1,0.459
2310,CIR1,RBPJ,-1,0.964
2311,CISD2,BCL2,1,0.661
2312,CISH,GHR,-1,0.977
2313,CISH,LEPR,1,0.524
2314,CITED1,SMAD4,1,0.97
2315,CKS1B,CDK1,1,0.999
2316,CKS1B,CDKN1B,1,0.661
2317,CKS1B,SKP2,1,0.996
2318,CLCF1,IL6ST,1,0.938
2319,CLCF1,CNTFR,1,0.979
2320,CLCF1,CRLF1,1,0.993
2321,CLDN1,MMP2,1,0.44
2322,CLIP1,DCTN1,1,0.999
2323,CLK1,ABL1,-1,0.15
2324,CLK1,PTPN1,1,0.459
2325,CLK1,SRPK1,1,0.557
2326,CLK1,SNRNP70,1,0.559
2327,CLK1,SRSF1,1,0.856
2328,CLK1,PRPF4,1,0.334
2329,CLK1,SRSF6,1,0.762
2330,CLK2,PTPN1,1,0.456
2331,CLK2,U2AF1,1,0.199
2332,CLK3,SRSF1,1,0.403
2333,CLK4,ABL1,-1,0.153
2334,CLOCK,ARNTL,1,0.991
2335,CLOCK,CRY1,1,0.996
2336,CLOCK,CRY2,1,0.996
2337,CLOCK,PER1,1,0.973
2338,CLOCK,PER2,1,0.99
2339,CLP1,NUDT21,1,0.937
2340,CLP1,PCF11,1,0.994
2341,CLSPN,BTRC,1,0.773
2342,CLSPN,RAD9A,1,0.986
2343,CMTM8,EGFR,1,0.387
2344,CNKSR1,RAF1,1,0.982
2345,CNKSR1,RASSF1,1,0.63
2346,CNKSR2,RAF1,1,0.986
2347,CNR1,GNAI1,1,0.944
2348,CNR1,GNAI3,1,0.944
2349,CNR1,TRPV1,-1,0.901
2350,CNR1,GNAO1,1,0.843
2351,CNR2,GNAI3,1,0.915
2352,CNR2,GNAO1,1,0.189
2353,CNTF,IL6ST,1,0.967
2354,CNTF,LIFR,1,0.985
2355,CNTF,CNTFR,1,0.993
2356,CNTF,CRLF1,1,0.622
2357,CNTN1,NOTCH1,1,0.95
2358,CNTN6,NOTCH1,1,0.959
2359,COL18A1,GPC1,1,0.847
2360,COL18A1,ITGA5,1,0.944
2361,COL1A2,CD44,1,0.89
2362,COL1A2,ITGA2B,1,0.88
2363,COL2A1,ITGA2B,1,0.881
2364,COL5A1,SDC3,1,0.392
2365,COP1,CASP1,-1,0.212
2366,COP1,NLRC4,-1,0.213
2367,COP1,TP53,-1,0.944
2368,COPS2,NAP1L1,1,0.559
2369,COPS5,CDKN1B,-1,0.84
2370,COPS5,HIF1A,1,0.943
2371,COPS5,JUN,1,0.979
2372,COPS5,MYC,1,0.347
2373,COPS5,SMAD7,1,0.456
2374,COPS5,HAND2,1,0.285
2375,COPS6,CASP3,1,0.338
2376,CORT,SSTR1,1,0.952
2377,CORT,SSTR2,1,0.949
2378,CORT,GHSR,1,0.611
2379,CORT,MRGPRX2,1,0.716
2380,CORT,SSTR4,1,0.947
2381,CORT,SSTR5,1,0.949
2382,CPLX1,STX1A,1,0.994
2383,CPLX1,VAMP2,1,0.973
2384,CRADD,CASP2,1,0.988
2385,CRADD,CASP8,1,0.965
2386,CRADD,RIPK1,1,0.952
2387,CREB1,BCL2,1,0.983
2388,CREB1,CRTC2,1,0.96
2389,CREB1,CTNNB1,1,0.785
2390,CREB1,FST,1,0.213
2391,CREB1,GDNF,1,0.956
2392,CREB1,SMAD3,1,0.687
2393,CREB1,TAF1,1,0.429
2394,CREB1,TP53,1,0.88
2395,CREB1,CD2AP,1,0.152
2396,CREB1,GTF2B,1,0.694
2397,CREBBP,AR,1,0.965
2398,CREBBP,ARNT,1,0.927
2399,CREBBP,CREB1,1,0.997
2400,CREBBP,CSK,1,0.944
2401,CREBBP,CTNNB1,1,0.986
2402,CREBBP,E2F1,1,0.944
2403,CREBBP,ELK1,1,0.369
2404,CREBBP,ESR1,1,0.967
2405,CREBBP,FOXO1,-1,0.972
2406,CREBBP,GATA1,1,0.708
2407,CREBBP,IFNAR2,1,0.368
2408,CREBBP,IRF1,1,0.953
2409,CREBBP,IRF9,1,0.942
2410,CREBBP,JUN,1,0.974
2411,CREBBP,KAT2B,1,0.99
2412,CREBBP,KLF1,1,0.61
2413,CREBBP,KLF5,1,0.602
2414,CREBBP,MEF2C,1,0.923
2415,CREBBP,MMP9,1,0.237
2416,CREBBP,MYB,1,0.982
2417,CREBBP,MYC,-1,0.969
2418,CREBBP,MYOD1,1,0.958
2419,CREBBP,NCOA2,1,0.982
2420,CREBBP,NFE2L2,1,0.476
2421,CREBBP,NFKB1,1,0.945
2422,CREBBP,RELA,1,0.993
2423,CREBBP,SMAD2,1,0.961
2424,CREBBP,SMAD3,-1,0.959
2425,CREBBP,SMAD4,-1,0.971
2426,CREBBP,SREBF1,1,0.574
2427,CREBBP,STAT2,1,0.957
2428,CREBBP,STAT3,1,0.971
2429,CREBBP,TDG,1,0.578
2430,CREBBP,VDR,1,0.954
2431,CREBBP,WRN,1,0.44
2432,CREBBP,FOXO4,-1,0.967
2433,CREBBP,HIST1H3D,1,0.386
2434,CREBBP,HIST1H3H,1,0.386
2435,CREBBP,HIST1H3J,1,0.497
2436,CREBBP,RELB,1,0.364
2437,CREBBP,ALX1,1,0.285
2438,CREBBP,MITF,1,0.205
2439,CREBZF,ATF4,1,0.703
2440,CRH,CRHR1,1,0.997
2441,CRH,CRHR2,1,0.993
2442,CRK,ABL1,1,0.941
2443,CRK,ABL2,1,0.931
2444,CRK,ARHGAP32,1,0.768
2445,CRK,CBL,1,0.986
2446,CRK,DOCK1,1,0.998
2447,CRK,MAP4K1,1,0.944
2448,CRK,MAPK8,1,0.966
2449,CRK,PIK3R2,1,0.579
2450,CRK,PIK3R3,1,0.954
2451,CRK,PTK2,1,0.981
2452,CRK,PXN,1,0.996
2453,CRK,RAPGEF1,1,0.993
2454,CRKL,ABL1,1,0.921
2455,CRKL,BCR,1,0.975
2456,CRKL,DOCK2,1,0.988
2457,CRKL,MAP4K1,1,0.965
2458,CRKL,MAPK8,1,0.956
2459,CRKL,PIK3R2,1,0.461
2460,CRKL,PXN,1,0.991
2461,CRKL,RAPGEF1,1,0.991
2462,CRLF2,JAK2,1,0.954
2463,CRLF2,STAT5A,1,0.408
2464,CRP,IL6,1,0.978
2465,CRP,MAPK1,-1,0.358
2466,CRTC2,AKT1,1,0.959
2467,CRTC2,CREB1,1,0.96
2468,CRTC3,BCL3,1,0.51
2469,CRY1,ARNTL,-1,0.999
2470,CRY1,CLOCK,-1,0.996
2471,CRY2,ARNTL,-1,0.999
2472,CRY2,CLOCK,-1,0.996
2473,CRYAA,BAX,-1,0.337
2474,CRYAA,BCL2L1,-1,0.324
2475,CRYAA,CRYBB2,1,0.894
2476,CRYAB,BAX,-1,0.381
2477,CRYAB,BCL2L1,-1,0.363
2478,CRYAB,CASP3,1,0.543
2479,CSE1L,CDH1,1,0.625
2480,CSF1,CSF1R,1,0.999
2481,CSF1,CSF2RA,1,0.38
2482,CSF1,CSF3R,1,0.441
2483,CSF1,TNF,1,0.895
2484,CSF1R,GRB2,1,0.935
2485,CSF2,CSF2RA,1,0.997
2486,CSF2,CSF2RB,1,0.995
2487,CSF2,CSF3R,1,0.948
2488,CSF2,SPI1,1,0.807
2489,CSF2RA,JAK2,1,0.937
2490,CSF2RA,STAT5A,1,0.935
2491,CSF2RB,JAK1,1,0.94
2492,CSF2RB,SHC1,1,0.938
2493,CSF3,CSF2RA,1,0.893
2494,CSF3,CSF3R,1,0.996
2495,CSF3R,JAK1,1,0.922
2496,CSF3R,JAK2,1,0.94
2497,CSF3R,TYK2,1,0.88
2498,CSK,CD247,1,0.941
2499,CSK,CTTN,1,0.74
2500,CSK,FGR,1,0.94
2501,CSK,FYN,1,0.946
2502,CSK,HCK,-1,0.938
2503,CSK,ITCH,-1,0.161
2504,CSK,LYN,-1,0.942
2505,CSK,NOTCH1,1,0.337
2506,CSK,PRKACA,1,0.495
2507,CSK,PTK2,1,0.949
2508,CSK,PXN,1,0.986
2509,CSK,SHC1,1,0.952
2510,CSK,YES1,-1,0.913
2511,CSNK1A1,APC,1,0.944
2512,CSNK1A1,AXIN1,1,0.99
2513,CSNK1A1,BID,1,0.324
2514,CSNK1A1,CDC25A,-1,0.7
2515,CSNK1A1,CREB1,1,0.299
2516,CSNK1A1,FADD,-1,0.418
2517,CSNK1A1,GLI2,-1,0.937
2518,CSNK1A1,GLI3,-1,0.951
2519,CSNK1A1,GSK3B,1,0.961
2520,CSNK1A1,LRP6,1,0.431
2521,CSNK1A1,MDM4,1,0.662
2522,CSNK1A1,NFATC3,-1,0.96
2523,CSNK1A1,PHLPP1,-1,0.552
2524,CSNK1A1,PRKN,-1,0.203
2525,CSNK1A1,SMO,1,0.92
2526,CSNK1A1,SNCA,1,0.455
2527,CSNK1A1,TP53,1,0.969
2528,CSNK1A1,YWHAQ,1,0.941
2529,CSNK1A1,LGALS3,1,0.383
2530,CSNK1A1L,CTNNB1,-1,0.895
2531,CSNK1A1L,LRP6,1,0.28
2532,CSNK1D,APC,1,0.907
2533,CSNK1D,AXIN1,1,0.95
2534,CSNK1D,CDK5,1,0.942
2535,CSNK1D,DVL1,1,0.924
2536,CSNK1D,DVL2,1,0.897
2537,CSNK1D,GJA1,1,0.867
2538,CSNK1D,GSK3B,1,0.894
2539,CSNK1D,LRP6,1,0.343
2540,CSNK1D,TP53,1,0.944
2541,CSNK1D,WWTR1,-1,0.8
2542,CSNK1D,YAP1,-1,0.809
2543,CSNK1D,YWHAQ,1,0.907
2544,CSNK1D,MAPT,-1,0.423
2545,CSNK1E,APC,1,0.941
2546,CSNK1E,AXIN1,1,0.982
2547,CSNK1E,BID,1,0.387
2548,CSNK1E,CTNND1,-1,0.334
2549,CSNK1E,DVL1,1,0.973
2550,CSNK1E,DVL2,1,0.96
2551,CSNK1E,LRP6,1,0.344
2552,CSNK1E,PER2,1,0.999
2553,CSNK1E,SMO,1,0.836
2554,CSNK1E,TP53,1,0.965
2555,CSNK1E,YAP1,-1,0.809
2556,CSNK1E,YWHAH,1,0.938
2557,CSNK1E,YWHAQ,1,0.907
2558,CSNK1E,OCLN,1,0.689
2559,CSNK1G1,ANK1,-1,0.176
2560,CSNK1G1,DVL1,1,0.906
2561,CSNK1G1,FOXO1,1,0.934
2562,CSNK1G1,TP53,1,0.9
2563,CSNK1G1,YWHAQ,1,0.911
2564,CSNK1G2,PER1,-1,0.299
2565,CSNK1G2,SMAD3,-1,0.366
2566,CSNK1G2,TP53,1,0.9
2567,CSNK1G2,YWHAQ,1,0.908
2568,CSNK1G2,COL4A3BP,-1,0.423
2569,CSNK1G3,TP53,1,0.901
2570,CSNK1G3,YWHAQ,1,0.906
2571,CSNK2A1,AKT1,1,0.438
2572,CSNK2A1,ARRB2,1,0.367
2573,CSNK2A1,CARD9,-1,0.399
2574,CSNK2A1,CASP2,-1,0.363
2575,CSNK2A1,CDC25C,-1,0.286
2576,CSNK2A1,CDC27,1,0.564
2577,CSNK2A1,CDC34,-1,0.483
2578,CSNK2A1,CDH1,1,0.501
2579,CSNK2A1,CDK1,1,0.485
2580,CSNK2A1,CLIP1,1,0.317
2581,CSNK2A1,CTNNB1,1,0.89
2582,CSNK2A1,DAXX,1,0.386
2583,CSNK2A1,DDIT3,-1,0.381
2584,CSNK2A1,DVL1,1,0.979
2585,CSNK2A1,EIF2B5,1,0.412
2586,CSNK2A1,EIF4B,1,0.257
2587,CSNK2A1,EIF4EBP1,-1,0.396
2588,CSNK2A1,EIF5,1,0.614
2589,CSNK2A1,GPI,-1,0.404
2590,CSNK2A1,HDAC1,1,0.913
2591,CSNK2A1,HDAC2,1,0.913
2592,CSNK2A1,HDAC3,1,0.867
2593,CSNK2A1,HSP90AB1,-1,0.422
2594,CSNK2A1,IFI16,1,0.36
2595,CSNK2A1,IGFBP3,1,0.36
2596,CSNK2A1,JUN,-1,0.974
2597,CSNK2A1,LEF1,1,0.226
2598,CSNK2A1,LIG1,1,0.395
2599,CSNK2A1,MAX,-1,0.651
2600,CSNK2A1,MDC1,1,0.4
2601,CSNK2A1,PAFAH1B1,1,0.935
2602,CSNK2A1,PIAS1,1,0.386
2603,CSNK2A1,PKD2,1,0.557
2604,CSNK2A1,PML,-1,0.436
2605,CSNK2A1,PTEN,-1,0.708
2606,CSNK2A1,RANGAP1,1,0.36
2607,CSNK2A1,RELA,1,0.742
2608,CSNK2A1,SET,-1,0.489
2609,CSNK2A1,SNCA,1,0.935
2610,CSNK2A1,SP1,-1,0.433
2611,CSNK2A1,SRF,1,0.947
2612,CSNK2A1,STX1A,1,0.446
2613,CSNK2A1,TLE1,1,0.419
2614,CSNK2A1,TP53,1,0.978
2615,CSNK2A1,VDR,1,0.369
2616,CSNK2A1,WAS,1,0.367
2617,CSNK2A1,YY1,1,0.261
2618,CSNK2A1,HCLS1,1,0.36
2619,CSNK2A1,MCM2,1,0.178
2620,CSNK2A1,EIF2S2,1,0.54
2621,CSNK2A1,RRN3,-1,0.198
2622,CSNK2A1,CTDP1,-1,0.5
2623,CSNK2A1,OCLN,1,0.802
2624,CSNK2A1,ABCC1,1,0.481
2625,CSNK2A1,ANP32B,1,0.156
2626,CSNK2A1,CAV2,1,0.36
2627,CSNK2A1,CBX5,1,0.546
2628,CSNK2A1,CD5,1,0.444
2629,CSNK2A1,DEK,1,0.431
2630,CSNK2A1,FHOD3,-1,0.37
2631,CSNK2A1,HIRIP3,1,0.36
2632,CSNK2A1,MAZ,1,0.642
2633,CSNK2A1,MYH9,1,0.38
2634,CSNK2A1,NFATC1,1,0.904
2635,CSNK2A1,PDCL,1,0.905
2636,CSNK2A1,PIP4K2A,1,0.781
2637,CSNK2A1,PRPF3,1,0.49
2638,CSNK2A1,PTGES3,1,0.324
2639,CSNK2A1,RNF7,1,0.729
2640,CSNK2A1,SHOX,1,0.36
2641,CSNK2A1,SNCAIP,1,0.419
2642,CSNK2A1,SPIB,-1,0.611
2643,CSNK2A1,SPTBN1,-1,0.387
2644,CSNK2A1,SSB,1,0.381
2645,CSNK2A1,SSRP1,-1,0.991
2646,CSNK2A1,TOP2A,1,0.828
2647,CSNK2A1,UBE2R2,1,0.448
2648,CSNK2A1,UBTF,1,0.674
2649,CSNK2A1,VAMP4,1,0.438
2650,CSNK2A2,ARRB2,1,0.373
2651,CSNK2A2,BID,1,0.324
2652,CSNK2A2,CDH1,1,0.248
2653,CSNK2A2,CSNK2A1,1,0.977
2654,CSNK2A2,CTNNB1,1,0.836
2655,CSNK2A2,EIF2B5,1,0.397
2656,CSNK2A2,EIF4EBP1,-1,0.36
2657,CSNK2A2,HDAC1,1,0.471
2658,CSNK2A2,HDAC2,1,0.462
2659,CSNK2A2,RELA,1,0.414
2660,CSNK2A2,SET,-1,0.214
2661,CSNK2A2,TP53,1,0.954
2662,CSNK2A2,WAS,1,0.362
2663,CSNK2A2,NFKBIA,-1,0.896
2664,CSNK2A2,CTDP1,-1,0.497
2665,CSNK2A2,OCLN,1,0.802
2666,CSNK2A2,SPIB,-1,0.36
2667,CSNK2A2,UBE2R2,1,0.667
2668,CSNK2B,BID,1,0.324
2669,CSNK2B,CHEK1,1,0.379
2670,CSNK2B,CHEK2,-1,0.173
2671,CSNK2B,CTNNB1,1,0.487
2672,CSNK2B,EIF5,1,0.407
2673,CSNK2B,TBP,1,0.151
2674,CSNK2B,TP53,1,0.943
2675,CSNK2B,NFKBIA,-1,0.483
2676,CSNK2B,CTDP1,-1,0.44
2677,CSNK2B,OCLN,1,0.414
2678,CSNK2B,RNF7,1,0.381
2679,CSTF2,CPSF3,1,0.998
2680,CSTF2,CPSF2,1,0.998
2681,CTBP1,EP300,-1,0.594
2682,CTBP1,NRIP1,-1,0.582
2683,CTBP1,TCF7L2,-1,0.957
2684,CTBP1,BHLHE41,1,0.166
2685,CTBP1,ZEB2,1,0.723
2686,CTBP1,ELK3,-1,0.36
2687,CTDNEP1,BMPR2,-1,0.775
2688,CTDNEP1,LPIN1,1,0.99
2689,CTDSP1,SMAD1,-1,0.934
2690,CTDSP1,SMAD3,1,0.901
2691,CTDSP2,SMAD1,-1,0.93
2692,CTDSP2,SMAD3,1,0.901
2693,CTDSPL,RB1,1,0.221
2694,CTDSPL,SMAD1,-1,0.93
2695,CTDSPL,SMAD3,1,0.901
2696,CTF1,IL6ST,1,0.955
2697,CTF1,LIFR,1,0.988
2698,CTGF,FN1,1,0.735
2699,CTGF,LRP6,1,0.239
2700,CTGF,TGFB2,1,0.673
2701,CTGF,TGFB3,1,0.633
2702,CTNNA1,DLG1,1,0.952
2703,CTNNA1,EGFR,1,0.951
2704,CTNNA1,YAP1,-1,0.406
2705,CTNNA2,YAP1,-1,0.351
2706,CTNNB1,CCND1,-1,0.994
2707,CTNNB1,CDH1,1,0.997
2708,CTNNB1,DKK1,1,0.988
2709,CTNNB1,EGFR,1,0.994
2710,CTNNB1,EP300,1,0.979
2711,CTNNB1,FER,1,0.947
2712,CTNNB1,FGFR1,1,0.985
2713,CTNNB1,FOXO1,1,0.977
2714,CTNNB1,FOXO3,1,0.976
2715,CTNNB1,HIF1A,1,0.77
2716,CTNNB1,HNF4A,-1,0.96
2717,CTNNB1,IGF1R,-1,0.972
2718,CTNNB1,IGF2BP1,1,0.952
2719,CTNNB1,MET,-1,0.969
2720,CTNNB1,MYC,1,0.989
2721,CTNNB1,MYOD1,1,0.383
2722,CTNNB1,NR4A1,1,0.673
2723,CTNNB1,PIK3CA,1,0.967
2724,CTNNB1,PITX2,1,0.981
2725,CTNNB1,PTGS2,1,0.805
2726,CTNNB1,PTPRJ,1,0.946
2727,CTNNB1,SMAD7,1,0.971
2728,CTNNB1,SOX2,-1,0.971
2729,CTNNB1,SRC,1,0.987
2730,CTNNB1,TCF4,1,0.981
2731,CTNNB1,TCF7L2,1,0.996
2732,CTNNB1,TRRAP,1,0.944
2733,CTNNB1,FOXO4,1,0.949
2734,CTNNB1,MITF,1,0.979
2735,CTNNB1,TCF7L1,1,0.989
2736,CTNNBIP1,CTNNB1,-1,0.983
2737,CTNND1,CDH1,1,0.996
2738,CTNND1,CDH2,1,0.991
2739,CTNND1,EGFR,1,0.975
2740,CTNND1,FER,1,0.967
2741,CTNND1,PSEN1,-1,0.743
2742,CTNND1,RAC1,1,0.926
2743,CTNND1,SRC,1,0.986
2744,CTNND1,VAV2,1,0.964
2745,CTNND1,PIP5K1C,1,0.901
2746,CTNND1,CDH3,1,0.969
2747,CTNND1,CDH5,1,0.989
2748,CTNND1,ZBTB33,-1,0.919
2749,CTNND2,CDH1,1,0.693
2750,CTNND2,CDH2,1,0.63
2751,CTNND2,ERBIN,1,0.59
2752,CTNND2,CDH3,1,0.4
2753,CTNND2,CDH5,1,0.41
2754,CTNND2,SPHK1,1,0.402
2755,CTSB,BID,1,0.819
2756,CTSB,SPHK1,1,0.432
2757,CTSG,AGT,1,0.961
2758,CTSG,C3,1,0.542
